LOINC_CODE,DTA_DESC
94546-9,Relationship to individual with confirmed or suspected illness
94535-2,Skin tone
94536-0,Color of Hair
94537-8,Hemoglobin panel - Blood by HPLC
94538-6,Hemoglobin HPLC and electrophoresis panel - Blood
94539-4,Hepatitis A virus IgM and total panel - Serum or Plasma Qualitative
94540-2,Mycobacterial stain and culture panel - Unspecified specimen
94541-0,Mycobacterial identification panel - Unspecified specimen by Molecular genetics method
94498-3,PhenX - Cystatin C assay for kidney function protocol 250701
94487-6,Galactosylceramidase [Enzymatic activity/mass] in Leukocytes by Confirmatory method
94488-4,Acid alpha glucosidase [Enzymatic activity/mass] in Leukocytes by Confirmatory method
94489-2,Lysosomal storage disorders panel - Leukocytes
94490-0,Protoporphyrin fractions panel - Red Blood Cells
94491-8,Protoporphyrin Free [Mass/volume] in Red Blood Cells
94492-6,HLA-DQA1 and HLA-DQB1 typing panel - Blood or Tissue by Molecular genetics method
94493-4,Celiac disease IgA and HLA typing and serology panel - Blood or Tissue
94495-9,HLA-DQA1 [Type]
94494-2,Celiac disease serology panel - Serum
94496-7,Cell suspension [Volume] of Specimen
94497-5,Packed erythrocytes [Volume] of Specimen
94478-5,Bordetella pertussis.pertussis toxin promoter region [Presence] in Lower respiratory specimen by NAA with non-probe detection
94480-1,Human coronavirus HKU1 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94479-3,Human coronavirus 229E RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94481-9,Human coronavirus NL63 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94482-7,Human coronavirus OC43 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94483-5,Parainfluenza virus 1 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94484-3,Parainfluenza virus 2 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94485-0,Parainfluenza virus 3 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94486-8,Parainfluenza virus 4 RNA [Presence] in Lower respiratory specimen by NAA with non-probe detection
94460-3,Healthcare navigator Conference note
94461-1,Solid Organ Transplant Consult note
94462-9,Cardiology Intensive care unit Consult note
94463-7,Bone Marrow Transplant Consult note
94464-5,Solid Organ Transplant Discharge summary
94465-2,Bone Marrow Transplant Discharge summary
94466-0,Solid Organ Transplant Progress note
94468-6,Bone Marrow Transplant Progress note
94467-8,Cardiology Intensive care unit Progress note
94459-5,Date treatment prescribed
94454-6,Arsenite [Mass/volume] in Urine
94455-3,Arsenobetaine [Mass/volume] in Urine
94456-1,Arsenocholine [Mass/volume] in Urine
94458-7,Monomethylarsonate [Mass/volume] in Urine
94457-9,Dimethylarsinate [Mass/volume] in Urine
94428-0,HLA class I and II IgG panel - Serum or Plasma by Flow cytometry (FC)
94429-8,HLA-DP & DQ & DR (class II) Ab.IgG low risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94430-6,HLA-A & B & C (class I) Ab.IgG low risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94432-2,HLA-DP and DQ and DR (class II) IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94431-4,Dilution factor [Titer] in Serum or Plasma
94434-8,HLA-DPB1 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94433-0,HLA-DP & DQ & DR (class II) Ab.IgG with prozone effect [Identifier] in Serum or Plasma by Flow cytometry (FC)
94437-1,HLA-DQA1 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94436-3,HLA-DQB1 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94435-5,HLA-DPA1 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94438-9,HLA-DRB3 & HLA-DRB4 & HLA DRB5 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94439-7,HLA-DRB1 IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94440-5,HLA-DP and DQ and DR (class II) IgG panel - Serum or Plasma by Flow cytometry (FC)
94441-3,HLA-A and B and C (class I) IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94442-1,HLA-A & B & C (class I) Ab.IgG with prozone effect [Identifier] in Serum or Plasma by Flow cytometry (FC)
94443-9,HLA-C IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94444-7,HLA-B IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94445-4,HLA-A IgG Ab [Identifier] in Serum or Plasma by Flow cytometry (FC)
94446-2,HLA-A and B and C (class I) IgG panel - Serum or Plasma by Flow cytometry (FC)
94447-0,HLA-DP & DQ & DR (class II) Ab.IgG high risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94448-8,HLA-DP & DQ & DR (class II) Ab.IgG intermediate risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94449-6,HLA-A & B & C (class I) Ab.IgG high risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94450-4,HLA-A & B & C (class I) Ab.IgG intermediate risk [Identifier] in Serum or Plasma by Flow cytometry (FC)
94426-4,Dengue virus 1+2+3+4 3' UTR RNA [Presence] in Cerebral spinal fluid by NAA with probe detection
94427-2,Dengue virus 1+2+3+4 3' UTR RNA [Presence] in Serum by NAA with probe detection
94332-4,Microsporidia sp 18S rRNA gene panel - Unspecified specimen by NAA with non-probe detection
94333-2,Encephalitozoon sp 18S rRNA gene [Presence] in Unspecified specimen by NAA with non-probe detection
94334-0,Enterocytozoon bieneusi 18S rRNA gene [Presence] in Unspecified specimen by NAA with non-probe detection
94335-7,Desmoglein 1 and Desmoglein 3 IgG panel - Serum by Immunoassay
94336-5,Desmoglein 1 IgG Ab [Units/volume] in Serum by Immunoassay
94337-3,Desmoglein 3 IgG Ab [Units/volume] in Serum by Immunoassay
94338-1,Chromosome 13+15+16+18+21+22+X+Y aneuploidy in Products of Conception by FISH
94339-9,Autoimmune myelopathy evaluation panel - Serum
94340-7,Amphiphysin IgG Ab [Titer] in Serum by Immunofluorescence
94341-5,Glial nuclear type 1 IgG Ab [Titer] in Serum by Immunofluorescence
94342-3,Neuronal nuclear type 1 IgG Ab [Titer] in Serum by Immunofluorescence
94343-1,Neuronal nuclear type 2 IgG Ab [Titer] in Serum by Immunofluorescence
94346-4,Glial fibrillary acidic protein alpha subunit IgG Ab [Presence] in Serum by Immunofluorescence
94344-9,Neuronal nuclear type 3 IgG Ab [Titer] in Serum by Immunofluorescence
94345-6,Glutamate decarboxylase 65 IgG+IgM Ab [Moles/volume] in Serum by Immunoassay
94349-8,Voltage-gated calcium channel P/Q type binding IgG+IgM Ab [Moles/volume] in Serum by Immunoassay
94347-2,Metabotropic glutamate receptor 1 IgG Ab [Presence] in Serum by Immunofluorescence
94348-0,Voltage-gated calcium channel N type binding IgG+IgM Ab [Moles/volume] in Serum by Immunoassay
94350-6,PCA-1 IgG Ab [Titer] in Serum by Immunofluorescence
94351-4,PCA-2 IgG Ab [Titer] in Serum by Immunofluorescence
94352-2,PCA-Tr IgG Ab [Titer] in Serum by Immunofluorescence
94353-0,Autoimmune myelopathy evaluation panel - Cerebral spinal fluid
94354-8,Amphiphysin IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94357-1,Neuronal nuclear type 2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94355-5,Glial nuclear type 1 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94356-3,Neuronal nuclear type 1 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94360-5,Glial fibrillary acidic protein IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence
94358-9,Neuronal nuclear type 3 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94359-7,Glutamate decarboxylase 65 IgG+IgM Ab [Moles/volume] in Cerebral spinal fluid by Immunoassay
94361-3,Metabotropic glutamate receptor 1 IgG Ab [Presence] in Cerebral spinal fluid by Immunofluorescence
94362-1,PCA-Tr IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94363-9,PCA-1 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94364-7,PCA-2 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94365-4,Bordetella pertussis DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94366-2,Streptococcus pyogenes DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94367-0,Streptococcus pneumoniae DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94369-6,Staphylococcus aureus DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94368-8,Streptococcus agalactiae DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94370-4,Serratia marcescens DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94371-2,Pseudomonas aeruginosa DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94372-0,Proteus sp DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94373-8,Moraxella catarrhalis DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94374-6,Klebsiella pneumoniae DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94375-3,Klebsiella oxytoca DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94377-9,Haemophilus influenzae DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94378-7,Escherichia coli DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94376-1,Klebsiella aerogenes DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94380-3,Acinetobacter baumannii DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94379-5,Enterobacter cloacae complex DNA [Presence] in Lower respiratory specimen by NAA with probe detection
94381-1,"2,3-dinor 11 beta-Prostaglandin F2 alpha/Creatinine [Mass Ratio] in 24 hour Urine"
94391-0,Respiratory viral pathogens DNA and RNA panel - Lower respiratory specimen by NAA with probe detection
94392-8,Bordetella pertussis+parapertussis+bronchiseptica gidA gene [Presence] in Lower respiratory specimen by NAA with probe detection
94394-4,Influenza virus A H3 RNA [Presence] in Lower respiratory specimen by NAA with probe detection
94393-6,Respiratory pathogens DNA and RNA panel - Lower respiratory specimen by NAA with probe detection
94396-9,Influenza virus A H1 RNA [Presence] in Lower respiratory specimen by NAA with probe detection
94395-1,Influenza virus A H1 2009 pandemic RNA [Presence] in Lower respiratory specimen by NAA with probe detection
94397-7,"Sulfocysteine, Hypoxanthine, Xanthine, Urate and Creatinine panel - Urine"
94398-5,Ethyl sulfate [Mass/mass] in Meconium by Confirmatory method
94399-3,Ethyl glucuronide [Mass/mass] in Meconium by Confirmatory method
94400-9,Protein.monoclonal [Presence] in Serum or Plasma
94419-9,Candida auris [Presence] in Isolate by MS.MALDI-TOF
94420-7,Lactobacillus crispatus+gasseri+jensenii + Gardnerella vaginalis + Atopobium vaginae rRNA [Presence] in Vaginal fluid by NAA with probe detection
94421-5,Candida glabrata RNA [Presence] in Vaginal fluid by NAA with probe detection
94422-3,"Candida albicans, C. dubliniensis, C. parapsilosis, and C. tropicalis RNA [Presence] in Vaginal fluid by NAA with probe detection"
94423-1,Lysosomal enzymes screen [Interpretation] in Urine Narrative
94424-9,Staphylococcus aureus methicillin resistance SCCmec+orfX junction [Presence] by Molecular method
94425-6,Human papilloma virus E6+E7 mRNA [Presence] in Unspecified specimen by NAA with probe detection
94330-8,Specimen Processing comment
94331-6,Specimen Collection procedure comment
94327-4,PhenX - human papillomavirus vaccine use protocol 100802
94318-3,Medical Aid in Dying Plan of care note
94319-1,Medical Aid in Dying Consult note
94320-9,Medical Aid in Dying procedure note
94322-5,Medical Aid in Dying Telephone encounter Note
94321-7,Medical Aid in Dying Team Note
94323-3,"Wound, Ostomy, and Continence Care Team Conference note"
94324-1,Orthopaedic surgery Care management note
94303-5,Pregnenolone and 17-Hydroxypregnenolone panel - Serum or Plasma
94304-3,OxyCODONE and metabolites panel - Urine by Confirmatory method
94305-0,OxyMORphone and Noroxymorphone panel - Urine by Confirmatory method
94269-8,Platelet aggregation EPINEPHrine induced in Platelet rich plasma --50 umol/L
94270-6,Coenzyme Q10 [Moles/mass] in Leukocytes
94271-4,PCA-1 IgG Ab [Presence] in Serum by Line blot
94272-2,PCA-1 IgG Ab [Presence] in Cerebral spinal fluid by Line blot
94273-0,Muscle specific receptor tyrosine kinase IgG Ab [Moles/volume] in Serum by Immunoassay
94274-8,Bedaquiline [Susceptibility]
94275-5,Honey bee acid phosphatase recombinant (rApi m) 3 IgE Ab [Units/volume] in Serum
94276-3,Honey bee dipeptidyl peptidase recombinant (rApi m) 5 IgE Ab [Units/volume] in Serum
94277-1,Dog recombinant 6 IgE Ab [Units/volume] in Serum
94278-9,Cat recombinant (rFel d) 7 IgE Ab [Units/volume] in Serum
94279-7,Honey bee acid phosphatase recombinant (rApi m) 3 IgE Ab RAST class [Presence] in Serum
94280-5,Honey bee dipeptidyl peptidase recombinant (rApi m) 5 IgE Ab RAST class [Presence] in Serum
94282-1,Cat recombinant (rFel d) 7 IgE Ab RAST class [Presence] in Serum
94281-3,Dog recombinant 6 IgE Ab RAST class [Presence] in Serum
94283-9,Dipeptidyl aminopeptidase-like protein 6 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding assay immunofluorescent assay
94284-7,Dipeptidyl aminopeptidase-like protein 6 IgG Ab [Titer] in Cerebral spinal fluid by Immunofluorescence
94285-4,Contactin-associated protein 2 IgG Ab [Presence] in Serum by Cell binding assay immunofluorescent assay
94286-2,Contactin-associated protein 2 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding assay immunofluorescent assay
94287-0,Leucine-rich glioma-inactivated protein 1 IgG Ab [Presence] in Serum by Cell binding assay immunofluorescent assay
94288-8,Leucine-rich glioma-inactivated protein 1 IgG Ab [Presence] in Cerebral spinal fluid by Cell binding assay immunofluorescent assay
94289-6,West Nile virus Ab [Presence] in Unspecified specimen by Neutralization test
94290-4,Saint Louis encephalitis virus Ab [Presence] in Unspecified specimen by Neutralization test
94291-2,Hydroxybupropion [Presence] in Serum or Plasma by Screen method
94293-8,Citalopram+Escitalopram [Mass/volume] in Serum or Plasma by Confirmatory method
94294-6,Norcitalopram [Presence] in Serum or Plasma by Screen method
94292-0,Citalopram+Escitalopram [Presence] in Serum or Plasma by Screen method
94295-3,DULoxetine [Presence] in Serum or Plasma by Screen method
94296-1,Norfluvoxamine [Presence] in Serum or Plasma by Screen method
94297-9,Norfluvoxamine [Mass/volume] in Serum or Plasma by Confirmatory method
94300-1,Vilazodone [Mass/volume] in Serum or Plasma by Confirmatory method
94298-7,Norvenlafaxine [Presence] in Serum or Plasma by Screen method
94299-5,Vilazodone [Presence] in Serum or Plasma by Screen method
94302-7,Vortioxetine [Mass/volume] in Serum or Plasma by Confirmatory method
94301-9,Vortioxetine [Presence] in Serum or Plasma by Screen method
94265-6,CD18 cells [Presence] in Blood
94266-4,"CD11a, CD11b, and CD18 phenotyping panel - Blood Qualitative"
94267-2,CD11b cells [Presence] in Blood
94268-0,CD11a cells [Presence] in Blood
94264-9,Brucella sp Ab [Titer] in Cerebral spinal fluid by Immunocapture agglutination
94247-4,Borrelia burgdorferi oppA2 gene [Presence] in Blood by NAA with non-probe detection
94248-2,Borrelia mayonii oppA2 gene [Presence] in Blood by NAA with non-probe detection
94249-0,Borrelia garinii+afzelii oppA2 gene [Presence] in Blood by NAA with non-probe detection
94250-8,Borrelia burgdorferi oppA2 gene [Presence] in Unspecified specimen by NAA with non-probe detection
94251-6,Borrelia mayonii oppA2 gene [Presence] in Unspecified specimen by NAA with non-probe detection
94252-4,Borrelia garinii+afzelii oppA2 gene [Presence] in Unspecified specimen by NAA with non-probe detection
94253-2,Borrelia sp panel - Unspecified specimen by NAA with non-probe detection
94257-3,PROMIS pediatric - global health 7 - version 1.0
94258-1,PROMIS pediatric - global health 7 - version 1.0 raw score
94263-1,PROMIS pediatric - global health 7 - version 1.0 T-score
94182-3,PROMIS parent proxy physical function - upper extremity - version 1.0 T-score
94183-1,Heartland banyangvirus RNA [Presence] in Unspecified specimen by NAA with probe detection
94184-9,Yellow fever virus RNA [Presence] in Unspecified specimen by NAA with probe detection
94185-6,Borrelia miyamotoi glpQ gene [Presence] in Unspecified specimen by NAA with probe detection
94186-4,Origin of germline genetic variant [Type]
94187-2,Platelet aggregation [Interpretation] in Platelet rich plasma
94188-0,APC gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94189-8,APOA2 gene full mutation analysis in Blood or Tissue by Sequencing
94190-6,BPGM gene full mutation analysis in Blood or Tissue by Sequencing
94192-2,SLC25A20 gene full mutation analysis in Blood or Tissue by Sequencing
94193-0,CDKN1C gene full mutation analysis in Blood or Tissue by Sequencing
94191-4,BRCA1+BRCA2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94195-5,CPT2 gene full mutation analysis in Blood or Tissue by Sequencing
94196-3,CTRC gene full mutation analysis in Blood or Tissue by Sequencing
94194-8,CPOX gene full mutation analysis in Blood or Tissue by Sequencing
94197-1,CYP21A2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94199-7,FGA gene full mutation analysis in Blood or Tissue by Sequencing
94198-9,DPYD gene full mutation analysis in Blood or Tissue by Sequencing
94202-9,GRHPR gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94200-3,FTCD gene full mutation analysis in Blood or Tissue by Sequencing
94201-1,GNPTAB gene full mutation analysis in Blood or Tissue by Sequencing
94205-2,LYZ gene full mutation analysis in Blood or Tissue by Sequencing
94203-7,GSN gene full mutation analysis in Blood or Tissue by Sequencing
94204-5,HMBS gene full mutation analysis in Blood or Tissue by Sequencing
94206-0,MMACHC gene full mutation analysis in Blood or Tissue by Sequencing
94207-8,MMADHC gene full mutation analysis in Blood or Tissue by Sequencing
94208-6,MLYCD gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94209-4,NAGLU gene full mutation analysis in Blood or Tissue by Sequencing
94210-2,ARSB gene full mutation analysis in Blood or Tissue by Sequencing
94211-0,NPC1 gene+NPC2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94212-8,PKLR gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94213-6,PPOX gene full mutation analysis in Blood or Tissue by Sequencing
94214-4,PRKAR1A gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94215-1,PRSS1 gene full mutation analysis in Blood or Tissue by Sequencing
94216-9,STK11 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94217-7,TP53 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94218-5,UBE3A gene full mutation analysis in Blood or Tissue by Sequencing
94219-3,VWF gene full mutation analysis in Blood or Tissue by Sequencing
94222-7,SERPINA1 gene full mutation analysis in Blood or Tissue by Sequencing
94220-1,SPINK1 gene full mutation analysis in Blood or Tissue by Sequencing
94221-9,SMN1 gene full mutation analysis in Blood or Tissue by Sequencing
94225-0,TTR gene full mutation analysis in Blood or Tissue by Sequencing
94223-5,PTEN gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94224-3,RET gene full mutation analysis in Blood or Tissue by Sequencing
94226-8,PKHD1 gene full mutation analysis in Blood or Tissue by Sequencing
94227-6,AGXT gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94228-4,MUTYH gene full mutation analysis in Blood or Tissue by Sequencing
94229-2,MECP2 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94230-0,GBA gene full mutation analysis in Blood or Tissue by Sequencing
94231-8,G6PD gene full mutation analysis in Blood or Tissue by Sequencing
94233-4,FECH gene full mutation analysis in Blood or Tissue by Sequencing
94234-2,F8 gene full mutation analysis in Blood or Tissue by Sequencing
94232-6,FLCN gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94236-7,F5 gene full mutation analysis in Blood or Tissue by Sequencing
94237-5,F2 gene full mutation analysis in Blood or Tissue by Sequencing
94235-9,F7 gene full mutation analysis in Blood or Tissue by Sequencing
94238-3,F12 gene full mutation analysis in Blood or Tissue by Sequencing
94239-1,F11 gene full mutation analysis in Blood or Tissue by Sequencing
94240-9,CDH1 gene deletion+duplication and full mutation analysis in Blood or Tissue by Molecular genetics method
94241-7,BTK gene full mutation analysis in Blood or Tissue by Sequencing
94242-5,BTD gene full mutation analysis in Blood or Tissue by Sequencing
94243-3,Healthcare navigator Note
94244-1,"Wound, Ostomy, and Continence Care Plan of care note"
94245-8,"Wound, Ostomy, and Continence Care Progress note"
94246-6,"Wound, Ostomy, and Continence Care Telephone encounter Note"
94181-5,PROMIS parent proxy global health - version 1.0 T-score
94169-0,PROMIS parent proxy short form - physical function - upper extremity 8 - version 1.0
94170-8,PROMIS parent proxy physical function - upper extremity - version 1.0 raw score
94173-2,My child could pull open heavy doors in past 7D [PROMIS.PARENTPROXY]
