field,label,description,temporal,category,subcategory,identifier
82848-3,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in Urine,11-Dehydrocorticosterone+tetrahydrocorticosterone+allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in Urine,1,Laboratory,11-Dehydrocorticosterone+tetrahydrocorticosterone+Allo-tetrahydrocorticosterone/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol|SRto|Urine,0
73839-3,11-Dehydrotetrahydrocorticosterone [Moles/volume] in 24 hour Urine,11-Dehydrotetrahydrocorticosterone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Dehydrotetrahydrocorticosterone|SCnc|Urine,0
73838-5,11-Dehydrotetrahydrocorticosterone [Moles/volume] in Urine,11-Dehydrotetrahydrocorticosterone [Moles/volume] in Urine,1,Laboratory,11-Dehydrotetrahydrocorticosterone|SCnc|Urine,0
34204-8,11-Deoxycortisol [Moles/volume] in 24 hour Urine,11-Deoxycortisol [Moles/volume] in 24 hour Urine,1,Laboratory,11-Deoxycortisol|SCnc|Urine,0
34205-5,11-Deoxycortisol [Moles/volume] in Urine,11-Deoxycortisol [Moles/volume] in Urine,1,Laboratory,11-Deoxycortisol|SCnc|Urine,0
82860-8,11-Deoxytetrahydrocorticosterone [Moles/volume] in 24 hour Urine,11-Deoxytetrahydrocorticosterone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Deoxytetrahydrocorticosterone|SCnc|Urine,0
82858-2,11-Deoxytetrahydrocorticosterone [Moles/volume] in Urine,11-Deoxytetrahydrocorticosterone [Moles/volume] in Urine,1,Laboratory,11-Deoxytetrahydrocorticosterone|SCnc|Urine,0
82861-6,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in 24 hour Urine,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in 24 hour Urine,1,Laboratory,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol|SRto|Urine,0
82862-4,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in Urine,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol [Molar ratio] in Urine,1,Laboratory,11-Deoxytetrahydrocortisol/Tetrahydrocortisone+tetrahydrocortisol+5-alpha tetrahydrocortisol|SRto|Urine,0
34207-1,11-Hydroxyandrosterone [Moles/volume] in 24 hour Urine,11-Hydroxyandrosterone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Hydroxyandrosterone|SCnc|Urine,0
34208-9,11-Hydroxyandrosterone [Moles/volume] in Urine,11-Hydroxyandrosterone [Moles/volume] in Urine,1,Laboratory,11-Hydroxyandrosterone|SCnc|Urine,0
34210-5,11-Hydroxyetiocholanolone [Moles/volume] in 24 hour Urine,11-Hydroxyetiocholanolone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Hydroxyetiocholanolone|SCnc|Urine,0
34211-3,11-Hydroxyetiocholanolone [Moles/volume] in Urine,11-Hydroxyetiocholanolone [Moles/volume] in Urine,1,Laboratory,11-Hydroxyetiocholanolone|SCnc|Urine,0
26943-1,11-Ketoandrosterone [Mass/volume] in 24 hour Urine,11-Ketoandrosterone [Mass/volume] in 24 hour Urine,1,Laboratory,11-Ketoandrosterone|MCnc|Urine,0
26944-9,11-Ketoandrosterone [Mass/volume] in Urine,11-Ketoandrosterone [Mass/volume] in Urine,1,Laboratory,11-Ketoandrosterone|MCnc|Urine,0
34213-9,11-Ketoandrosterone [Moles/volume] in 24 hour Urine,11-Ketoandrosterone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Ketoandrosterone|SCnc|Urine,0
34214-7,11-Ketoandrosterone [Moles/volume] in Urine,11-Ketoandrosterone [Moles/volume] in Urine,1,Laboratory,11-Ketoandrosterone|SCnc|Urine,0
34216-2,11-Ketoetiocholanolone [Moles/volume] in 24 hour Urine,11-Ketoetiocholanolone [Moles/volume] in 24 hour Urine,1,Laboratory,11-Ketoetiocholanolone|SCnc|Urine,0
34217-0,11-Ketoetiocholanolone [Moles/volume] in Urine,11-Ketoetiocholanolone [Moles/volume] in Urine,1,Laboratory,11-Ketoetiocholanolone|SCnc|Urine,0
40866-6,11-Oxo-Androsterone/Creatinine [Mass Ratio] in 24 hour Urine,11-Oxo-Androsterone/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,11-Oxo-Androsterone/Creatinine|MRto|Urine,0
60547-7,11-Oxo-Androsterone/Creatinine [Mass Ratio] in Urine,11-Oxo-Androsterone/Creatinine [Mass Ratio] in Urine,1,Laboratory,11-Oxo-Androsterone/Creatinine|MRto|Urine,0
40868-2,11-Oxo-Etiocholanolone/Creatinine [Mass Ratio] in 24 hour Urine,11-Oxo-Etiocholanolone/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,11-Oxo-Etiocholanolone/Creatinine|MRto|Urine,0
60548-5,11-Oxo-Etiocholanolone/Creatinine [Mass Ratio] in Urine,11-Oxo-Etiocholanolone/Creatinine [Mass Ratio] in Urine,1,Laboratory,11-Oxo-Etiocholanolone/Creatinine|MRto|Urine,0
73846-8,16-Alpha hydroxydehydroepiandrosterone [Moles/volume] in 24 hour Urine,16-Alpha hydroxydehydroepiandrosterone [Moles/volume] in 24 hour Urine,1,Laboratory,16-Alpha hydroxydehydroepiandrosterone|SCnc|Urine,0
73844-3,16-Alpha hydroxydehydroepiandrosterone [Moles/volume] in Urine,16-Alpha hydroxydehydroepiandrosterone [Moles/volume] in Urine,1,Laboratory,16-Alpha hydroxydehydroepiandrosterone|SCnc|Urine,0
74508-3,16-Alpha hydroxypregnenolone [Moles/volume] in 24 hour Urine,16-Alpha hydroxypregnenolone [Moles/volume] in 24 hour Urine,1,Laboratory,16-Alpha hydroxypregnenolone|SCnc|Urine,0
74507-5,16-Alpha hydroxypregnenolone [Moles/volume] in Urine,16-Alpha hydroxypregnenolone [Moles/volume] in Urine,1,Laboratory,16-Alpha hydroxypregnenolone|SCnc|Urine,0
74504-2,"16-Beta,18-dihydroxydehydroepiandrosterone [Moles/volume] in 24 hour Urine","16-Beta,18-dihydroxydehydroepiandrosterone [Moles/volume] in 24 hour Urine",1,Laboratory,"16-Beta,18-dihydroxydehydroepiandrosterone|SCnc|Urine",0
74503-4,"16-Beta,18-dihydroxydehydroepiandrosterone [Moles/volume] in Urine","16-Beta,18-dihydroxydehydroepiandrosterone [Moles/volume] in Urine",1,Laboratory,"16-Beta,18-dihydroxydehydroepiandrosterone|SCnc|Urine",0
73847-6,16-Ketoandrostenediol [Moles/volume] in 24 hour Urine,16-Ketoandrostenediol [Moles/volume] in 24 hour Urine,1,Laboratory,16-Ketoandrostenediol|SCnc|Urine,0
73849-2,16-Ketoandrostenediol [Moles/volume] in Urine,16-Ketoandrostenediol [Moles/volume] in Urine,1,Laboratory,16-Ketoandrostenediol|SCnc|Urine,0
41404-5,17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in 24 hour Urine,17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,17-Hydroxycorticosteroids/Creatinine|MRto|Urine,0
38472-7,17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in Urine,17-Hydroxycorticosteroids/Creatinine [Mass Ratio] in Urine,1,Laboratory,17-Hydroxycorticosteroids/Creatinine|MRto|Urine,0
6866-8,17-Hydroxycorticosteroids [Mass/volume] in 24 hour Urine,17-Hydroxycorticosteroids [Mass/volume] in 24 hour Urine,1,Laboratory,17-Hydroxycorticosteroids|MCnc|Urine,0
1666-7,17-Hydroxycorticosteroids [Mass/volume] in Urine,17-Hydroxycorticosteroids [Mass/volume] in Urine,1,Laboratory,17-Hydroxycorticosteroids|MCnc|Urine,0
25852-5,17-Hydroxycorticosteroids [Moles/volume] in 24 hour Urine,17-Hydroxycorticosteroids [Moles/volume] in 24 hour Urine,1,Laboratory,17-Hydroxycorticosteroids|SCnc|Urine,0
34218-8,17-Hydroxycorticosteroids [Moles/volume] in Urine,17-Hydroxycorticosteroids [Moles/volume] in Urine,1,Laboratory,17-Hydroxycorticosteroids|SCnc|Urine,0
1668-3,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma,1,Laboratory,17-Hydroxyprogesterone|MCnc|Pt|ANYBldSerPlas,0
1669-1,Deprecated 17-Hydroxyprogesterone [Mass/volume] in Serum,Deprecated 17-Hydroxyprogesterone [Mass/volume] in Serum,1,Laboratory,17-Hydroxyprogesterone|MCnc|Pt|ANYBldSerPlas,0
34220-4,17-Hydroxyprogesterone [Moles/volume] in 24 hour Urine,17-Hydroxyprogesterone [Moles/volume] in 24 hour Urine,1,Laboratory,17-Hydroxyprogesterone|SCnc|Urine,0
14570-6,17-Hydroxyprogesterone [Moles/volume] in Urine,17-Hydroxyprogesterone [Moles/volume] in Urine,1,Laboratory,17-Hydroxyprogesterone|SCnc|Urine,0
1671-7,17-Ketogenic steroids [Mass/volume] in Blood,17-Ketogenic steroids [Mass/volume] in Blood,1,Laboratory,17-Ketogenic steroids|MCnc|Pt|ANYBldSerPlas,0
1672-5,Deprecated 17-Ketogenic steroids [Mass/volume] in Blood,Deprecated 17-Ketogenic steroids [Mass/volume] in Blood,1,Laboratory,17-Ketogenic steroids|MCnc|Pt|ANYBldSerPlas,0
1673-3,17-Ketogenic steroids [Mass/time] in 24 hour Urine,17-Ketogenic steroids [Mass/time] in 24 hour Urine,1,Laboratory,17-Ketogenic steroids|MRat|Urine,0
16300-6,17-Ketogenic steroids [Mass/time] in 72 hour Urine,17-Ketogenic steroids [Mass/time] in 72 hour Urine,1,Laboratory,17-Ketogenic steroids|MRat|Urine,0
29353-0,17-Ketosteroids.total neutral [Mass/time] in 12 hour Urine,17-Ketosteroids.total neutral [Mass/time] in 12 hour Urine,1,Laboratory,17-Ketosteroids.total neutral|MRat|Urine,0
12769-6,17-Ketosteroids.total neutral [Mass/time] in 24 hour Urine,17-Ketosteroids.total neutral [Mass/time] in 24 hour Urine,1,Laboratory,17-Ketosteroids.total neutral|MRat|Urine,0
44281-4,17-Ketosteroids/Creatinine [Mass Ratio] in 24 hour Urine,17-Ketosteroids/Creatinine [Mass Ratio] in 24 hour Urine,1,Laboratory,17-Ketosteroids/Creatinine|MRto|Urine,0
33347-6,17-Ketosteroids/Creatinine [Mass Ratio] in Urine,17-Ketosteroids/Creatinine [Mass Ratio] in Urine,1,Laboratory,17-Ketosteroids/Creatinine|MRto|Urine,0
25317-9,17-Ketosteroids [Moles/volume] in 24 hour Urine,17-Ketosteroids [Moles/volume] in 24 hour Urine,1,Laboratory,17-Ketosteroids|SCnc|Urine,0
34222-0,17-Ketosteroids [Moles/volume] in Urine,17-Ketosteroids [Moles/volume] in Urine,1,Laboratory,17-Ketosteroids|SCnc|Urine,0
73851-8,18-Beta glycyrrhetinate [Mass/volume] in 24 hour Urine,18-Beta glycyrrhetinate [Mass/volume] in 24 hour Urine,1,Laboratory,18-Beta glycyrrhetinate|MCnc|Urine,0
73850-0,18-Beta glycyrrhetinate [Mass/volume] in Urine,18-Beta glycyrrhetinate [Mass/volume] in Urine,1,Laboratory,18-Beta glycyrrhetinate|MCnc|Urine,0
78755-6,1-Hydroxymidazolam [Mass/volume] in Blood,1-Hydroxymidazolam [Mass/volume] in Blood,1,Laboratory,1-Hydroxymidazolam|MCnc|Pt|ANYBldSerPlas,0
69797-9,1-Hydroxymidazolam [Mass/volume] in Serum or Plasma,1-Hydroxymidazolam [Mass/volume] in Serum or Plasma,1,Laboratory,1-Hydroxymidazolam|MCnc|Pt|ANYBldSerPlas,0
56666-1,1-Methylhistidine/Creatinine [Ratio] in 24 hour Urine,1-Methylhistidine/Creatinine [Ratio] in 24 hour Urine,1,Laboratory,1-Methylhistidine/Creatinine|Ratio|Urine,0
28606-2,1-Methylhistidine/Creatinine [Ratio] in Urine,1-Methylhistidine/Creatinine [Ratio] in Urine,1,Laboratory,1-Methylhistidine/Creatinine|Ratio|Urine,0
25854-1,1-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,1-Methylhistidine/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,1-Methylhistidine/Creatinine|SRto|Urine,0
26574-4,1-Methylhistidine/Creatinine [Molar ratio] in Urine,1-Methylhistidine/Creatinine [Molar ratio] in Urine,1,Laboratory,1-Methylhistidine/Creatinine|SRto|Urine,0
25853-3,1-Methylhistidine [Moles/volume] in 24 hour Urine,1-Methylhistidine [Moles/volume] in 24 hour Urine,1,Laboratory,1-Methylhistidine|SCnc|Urine,0
27044-7,1-Methylhistidine [Moles/volume] in Urine,1-Methylhistidine [Moles/volume] in Urine,1,Laboratory,1-Methylhistidine|SCnc|Urine,0
60036-1,1-Naphthol [Mass/volume] in Blood,1-Naphthol [Mass/volume] in Blood,1,Laboratory,1-Naphthol|MCnc|Pt|ANYBldSerPlas,0
9681-8,1-Naphthol [Mass/volume] in Serum or Plasma,1-Naphthol [Mass/volume] in Serum or Plasma,1,Laboratory,1-Naphthol|MCnc|Pt|ANYBldSerPlas,0
62292-8,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma,1,Laboratory,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3|MCnc|Pt|ANYBldSerPlas,0
83070-3,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma by Immunoassay,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Mass/volume] in Serum or Plasma by Immunoassay,1,Laboratory,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3|MCnc|Pt|ANYBldSerPlas,0
68438-1,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Moles/volume] in Serum or Plasma,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Moles/volume] in Serum or Plasma,1,Laboratory,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3|SCnc|Pt|ANYBldSerPlas,0
83071-1,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Moles/volume] in Serum or Plasma by Immunoassay,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3 [Moles/volume] in Serum or Plasma by Immunoassay,1,Laboratory,25-Hydroxyvitamin D2+25-Hydroxyvitamin D3|SCnc|Pt|ANYBldSerPlas,0
49809-7,2-Ethyl-3-Hydroxypropionate/Creatinine [Molar ratio] in 24 hour Urine,2-Ethyl-3-Hydroxypropionate/Creatinine [Molar ratio] in 24 hour Urine,1,Laboratory,2-Ethyl-3-Hydroxypropionate/Creatinine|SRto|Urine,0
29523-8,2-Ethyl-3-Hydroxypropionate/Creatinine [Molar ratio] in Urine,2-Ethyl-3-Hydroxypropionate/Creatinine [Molar ratio] in Urine,1,Laboratory,2-Ethyl-3-Hydroxypropionate/Creatinine|SRto|Urine,0
80557-2,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/mass] in Hair","2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine (EDDP) [Mass/mass] in Hair",1,Laboratory,"2-Ethylidene-1,5-Dimethyl-3,3-Diphenylpyrrolidine|ANYProp|ANYTm|ANYSys|ANYMeth",0
